LAD 2021 Code,LAD 2021 Name,LSOA 2021 Code,LSOA 2021 Name,LA Name,Total,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
E06000015,Derby,E01013453,Derby 013A,Derby,"1,122",15,18,19,19,13,8,8,5,11,9,10,12,6,6,12,12,13,7,7,11,24,37,42,32,24,25,26,27,26,33,34,30,30,25,19,23,18,22,14,13,17,21,16,9,17,9,4,5,5,10,11,8,11,13,10,12,13,8,10,12,15,3,5,8,9,7,4,5,6,5,5,3,3,1,5,5,3,8,2,5,5,3,4,5,3,5,4,1,2,5,12
E06000015,Derby,E01013454,Derby 013B,Derby,727,8,6,3,6,5,13,17,12,11,12,12,9,6,11,6,9,9,16,7,11,11,8,12,15,14,13,7,13,10,13,10,13,6,12,10,12,16,15,20,14,12,14,7,14,9,11,4,8,11,8,7,12,6,8,15,7,4,6,6,3,7,2,7,14,6,10,12,10,10,7,3,2,3,3,3,3,3,5,5,0,0,0,1,0,0,0,1,1,2,0,2
E06000015,Derby,E01013455,Derby 017A,Derby,994,11,13,8,12,11,12,12,6,4,10,16,10,5,9,10,10,7,4,5,8,6,7,11,14,9,17,10,19,17,14,18,23,12,17,13,21,13,11,17,17,12,11,9,15,4,10,11,13,14,12,20,14,15,19,15,14,12,13,11,17,15,12,5,13,19,14,14,13,9,8,6,6,11,7,11,4,4,7,5,8,6,3,10,2,3,4,8,6,4,6,21
E06000015,Derby,E01013456,Derby 013C,Derby,897,12,12,10,12,14,12,10,9,11,11,10,10,8,10,12,12,6,8,8,8,16,22,24,22,19,23,12,17,24,23,19,17,20,10,11,14,18,18,21,19,17,12,12,13,10,9,17,13,5,9,3,9,5,10,11,8,12,12,13,11,11,9,8,3,8,3,5,5,5,6,1,4,1,3,5,8,4,3,3,0,2,1,3,3,2,0,2,1,2,0,1
E06000015,Derby,E01013457,Derby 013D,Derby,884,13,7,9,10,11,10,15,8,6,11,8,5,9,10,10,8,5,10,5,2,5,10,8,15,11,28,28,21,19,17,15,26,21,17,20,11,20,21,21,17,13,18,18,20,14,10,12,15,12,8,8,9,9,8,8,11,9,14,7,11,14,7,6,10,9,6,7,3,4,3,4,3,6,4,7,5,4,4,1,1,1,1,3,3,2,0,0,1,1,0,7
E06000015,Derby,E01013458,Derby 017B,Derby,944,9,10,7,10,9,17,8,14,17,10,8,8,8,10,12,11,15,12,9,7,9,12,13,7,7,12,18,8,20,15,10,12,11,11,12,7,13,11,16,14,9,9,8,10,12,8,12,7,7,6,14,16,16,11,14,9,13,9,13,7,11,11,14,7,8,8,9,6,6,8,8,10,4,10,7,8,3,14,15,10,6,8,5,10,10,7,7,11,1,5,38
E06000015,Derby,E01013459,Derby 020A,Derby,"1,006",12,12,16,11,14,13,11,15,15,13,14,21,13,19,20,19,14,18,15,12,14,11,13,8,12,23,13,16,14,10,12,6,12,14,7,12,15,17,14,15,17,21,17,18,12,16,13,17,13,18,14,13,18,16,9,11,9,10,13,13,10,5,6,7,7,11,10,7,6,9,6,4,8,4,10,4,6,3,3,4,8,4,4,4,2,2,2,1,0,1,5
E06000015,Derby,E01013460,Derby 013E,Derby,877,8,9,9,9,6,12,9,8,7,7,8,4,7,5,9,4,9,8,7,6,14,39,49,44,37,36,35,36,26,40,14,13,15,13,18,10,16,16,13,7,17,10,10,7,5,7,6,11,6,15,10,9,6,3,5,11,4,5,5,7,3,6,2,2,3,6,2,4,6,1,5,5,0,0,1,2,3,2,6,1,0,2,1,0,0,1,1,2,0,1,8
E06000015,Derby,E01013461,Derby 001A,Derby,860,2,7,7,9,12,7,4,9,4,10,9,10,9,14,13,5,8,9,11,7,17,6,12,5,11,4,10,4,6,3,6,4,8,5,3,5,4,16,10,7,6,13,13,13,10,8,7,10,8,9,14,15,9,9,16,13,14,9,18,14,13,17,9,10,15,12,11,15,15,16,11,10,15,15,11,14,15,13,16,7,5,11,9,5,9,5,2,1,1,4,8
E06000015,Derby,E01013462,Derby 001B,Derby,769,9,7,8,7,3,8,12,9,6,11,7,18,10,12,10,6,11,5,6,4,4,2,10,4,5,7,6,4,5,7,12,14,14,8,8,2,5,8,7,9,7,7,13,13,10,11,12,18,8,14,15,9,17,8,11,14,13,11,16,11,8,7,10,11,13,6,12,4,9,5,8,5,5,7,10,10,3,8,4,4,6,4,4,4,6,10,8,6,4,4,16
E06000015,Derby,E01013463,Derby 001C,Derby,779,3,6,7,9,5,8,11,13,7,7,11,13,5,13,13,8,8,12,8,6,6,8,7,6,7,6,8,11,4,6,2,3,7,5,11,5,7,7,10,10,12,13,7,11,11,9,9,11,20,16,8,11,13,11,8,10,10,15,11,11,9,7,7,7,6,9,8,15,10,12,14,6,10,10,15,11,8,18,7,10,2,3,2,4,6,3,8,2,3,2,9
E06000015,Derby,E01013464,Derby 001D,Derby,742,3,5,8,15,9,5,4,8,10,5,12,8,7,10,10,7,9,7,7,6,5,4,6,3,3,6,0,6,2,3,4,3,9,10,8,6,4,8,7,7,8,13,11,9,2,9,11,9,9,9,8,3,12,11,10,10,11,14,9,16,14,11,10,8,6,5,10,8,5,12,13,5,16,13,8,15,10,12,14,11,3,5,11,9,10,11,1,7,5,3,18
E06000015,Derby,E01013465,Derby 002A,Derby,819,5,6,9,6,3,5,6,11,9,8,15,5,6,15,11,14,8,4,13,9,4,4,4,6,5,4,4,8,4,6,8,4,11,3,7,5,10,7,2,6,8,5,17,11,10,5,13,13,7,7,14,15,11,14,24,12,17,15,10,13,2,6,4,9,9,12,9,6,13,7,10,13,8,8,12,18,7,8,11,10,13,14,7,11,8,15,6,6,7,5,24
E06000015,Derby,E01013466,Derby 002B,Derby,835,4,6,8,8,8,2,7,5,10,5,10,5,13,3,14,6,13,9,14,8,7,9,5,4,6,5,4,2,3,7,9,9,6,7,8,2,11,5,4,10,13,9,16,4,14,11,6,8,10,9,18,17,9,11,11,16,14,19,9,10,12,14,15,13,9,9,8,16,10,10,12,8,12,11,13,13,9,10,12,11,8,9,7,4,9,11,6,12,5,10,12
E06000015,Derby,E01013467,Derby 002C,Derby,738,7,6,7,9,7,10,5,11,8,11,8,12,9,5,13,7,4,8,1,3,5,7,3,6,2,7,5,4,4,13,12,5,11,7,4,10,10,13,14,14,6,9,7,5,9,6,12,5,6,11,5,7,6,9,7,13,9,14,12,6,11,7,10,10,10,10,7,9,9,13,6,11,12,7,6,11,6,12,9,10,9,4,9,10,11,4,14,1,4,9,6
E06000015,Derby,E01013468,Derby 002D,Derby,779,5,2,8,3,7,8,11,7,6,9,10,9,5,4,7,7,2,6,4,6,8,5,6,9,7,6,5,4,2,2,5,7,5,6,10,6,14,6,3,6,8,12,15,10,10,13,8,9,7,9,11,7,15,6,8,5,14,14,14,5,19,14,11,14,16,12,10,11,8,12,6,8,14,6,7,14,14,11,8,8,5,9,13,10,6,11,13,2,10,7,22
E06000015,Derby,E01013469,Derby 002E,Derby,683,3,1,4,2,5,2,4,5,4,6,10,4,4,6,4,8,3,7,0,3,7,4,6,6,4,6,7,6,5,7,5,9,9,5,4,5,9,6,7,4,7,3,3,7,6,5,2,4,8,1,4,5,9,5,6,7,8,8,10,9,13,10,3,9,12,5,8,10,11,5,8,9,11,17,23,21,9,7,9,16,15,9,11,14,13,8,17,14,8,6,29
E06000015,Derby,E01013470,Derby 024A,Derby,708,6,5,8,7,9,9,5,11,5,9,25,9,8,10,9,5,10,10,9,6,1,6,6,5,8,4,7,9,6,15,5,13,13,7,14,12,9,8,8,6,8,10,6,6,6,7,5,6,5,10,12,17,7,8,14,4,11,9,13,4,12,9,3,5,6,10,7,12,9,8,6,7,10,1,9,8,5,10,4,7,1,3,8,3,7,3,10,5,4,4,7
E06000015,Derby,E01013471,Derby 025A,Derby,949,11,12,14,10,11,10,7,11,12,13,10,15,12,6,10,12,12,10,10,10,19,16,8,16,10,15,11,18,14,16,19,15,15,23,10,9,20,12,8,14,14,17,19,13,20,10,9,21,7,10,13,9,10,12,13,5,16,13,11,7,10,6,12,4,6,5,3,14,3,3,5,1,3,6,6,37,17,0,25,12,1,4,3,3,3,1,0,1,0,0,0
E06000015,Derby,E01013472,Derby 026A,Derby,"1,106",12,11,14,12,18,11,17,10,16,13,22,18,18,12,22,16,11,18,12,12,10,7,20,9,13,12,10,11,15,16,15,18,19,28,18,20,22,19,12,23,12,18,20,11,12,8,19,15,9,14,10,20,16,6,7,15,21,7,12,7,15,11,14,11,8,5,9,5,9,7,4,6,1,5,7,4,4,6,4,4,5,12,13,13,9,6,6,0,4,12,16
E06000015,Derby,E01013473,Derby 025B,Derby,805,12,16,12,13,15,10,6,9,8,11,12,13,8,8,10,8,9,9,8,9,7,15,8,14,21,13,10,18,15,12,5,8,9,11,11,9,16,21,22,17,6,3,7,8,8,20,8,3,12,16,9,7,8,9,6,11,9,12,7,11,9,6,5,9,6,8,3,5,2,5,14,9,6,12,9,5,3,4,4,1,9,2,4,2,2,1,3,1,0,1,7
E06000015,Derby,E01013474,Derby 024B,Derby,744,8,3,7,6,2,10,5,7,8,7,11,5,7,7,4,15,8,10,9,9,6,3,5,13,6,8,5,7,10,5,16,11,12,12,9,13,14,13,12,10,6,15,8,6,3,6,9,10,11,9,9,9,8,7,6,8,10,12,15,15,13,12,16,9,8,10,5,5,6,5,11,3,4,8,7,13,5,5,5,6,9,7,5,1,5,5,5,6,2,3,20
E06000015,Derby,E01013475,Derby 025C,Derby,895,17,24,16,19,13,14,8,11,21,16,18,9,17,17,14,18,16,13,13,12,10,11,11,2,11,7,13,10,9,11,10,18,12,14,11,26,24,14,23,28,15,15,12,10,11,8,9,8,8,6,13,14,14,11,9,8,8,9,7,9,12,10,5,10,10,5,6,4,5,8,4,2,5,2,2,2,1,4,3,1,1,0,0,0,0,0,0,1,0,0,7
E06000015,Derby,E01013476,Derby 024C,Derby,649,8,9,5,3,5,3,3,5,4,2,3,4,1,4,1,4,4,5,1,1,3,2,5,12,6,9,10,10,13,13,13,13,8,9,4,6,17,6,4,9,6,9,6,5,4,6,6,8,8,9,11,5,11,9,13,16,7,12,15,10,14,16,14,16,17,3,14,8,7,8,9,7,6,15,10,8,8,9,7,8,3,5,2,5,2,1,0,0,0,0,4
E06000015,Derby,E01013477,Derby 025D,Derby,862,12,6,14,11,7,7,17,11,16,8,6,3,10,8,7,8,5,5,11,3,9,7,5,9,5,12,14,17,14,17,13,19,19,21,13,3,9,16,7,15,9,12,11,7,11,5,5,12,7,13,12,8,15,11,11,15,13,13,16,14,17,9,14,7,8,14,6,9,12,9,8,4,7,4,7,10,9,10,8,3,6,2,5,5,2,5,6,3,6,2,6
E06000015,Derby,E01013480,Derby 016A,Derby,966,15,12,13,13,11,13,12,16,8,10,20,16,18,16,9,8,7,12,10,11,9,22,17,18,17,20,20,22,20,22,16,17,14,14,14,16,16,15,17,18,7,13,8,10,12,13,7,11,17,7,15,22,7,4,11,11,16,10,12,11,12,11,10,14,5,4,3,7,4,4,7,6,5,2,4,4,8,6,1,3,0,0,5,2,7,0,0,0,0,0,14
E06000015,Derby,E01013481,Derby 018A,Derby,991,8,13,15,17,18,14,14,16,17,17,16,17,17,16,16,17,17,15,21,20,10,6,13,13,13,12,10,14,13,23,14,18,16,18,14,20,19,13,9,11,18,11,19,13,18,13,12,12,12,17,11,16,12,9,5,10,12,13,12,8,12,7,5,4,8,7,8,5,9,7,3,5,2,4,6,5,1,5,2,1,0,2,1,2,3,4,5,3,3,2,7
E06000015,Derby,E01013483,Derby 016B,Derby,918,10,7,17,9,10,18,16,23,15,11,16,12,19,15,22,13,13,14,16,17,9,17,10,9,13,16,12,16,15,17,14,19,12,12,12,12,10,18,18,14,13,20,17,10,9,9,8,6,9,16,7,11,16,13,17,16,9,12,9,4,7,8,6,4,8,5,8,5,5,3,4,4,6,3,5,1,1,3,2,2,5,8,3,3,2,1,1,2,1,0,3
E06000015,Derby,E01013484,Derby 018C,Derby,"1,076",19,26,12,29,16,32,14,24,31,26,18,23,20,18,18,11,5,13,15,11,18,11,12,13,13,12,20,15,14,17,16,20,16,24,19,18,14,19,20,17,18,14,14,11,12,21,17,7,14,16,11,10,13,11,8,7,4,7,8,5,8,5,9,5,8,4,2,6,4,9,7,7,5,8,4,4,2,2,5,3,3,1,2,4,0,2,5,2,4,2,7
E06000015,Derby,E01013485,Derby 016C,Derby,"1,156",27,29,24,27,22,20,28,33,15,23,24,20,30,15,18,13,17,12,19,12,21,17,19,16,28,15,22,18,21,22,12,16,19,19,17,27,21,25,22,28,10,13,16,12,10,17,11,16,14,9,12,10,13,11,11,10,4,8,7,9,5,3,6,5,8,7,7,3,7,6,5,3,6,2,2,4,5,4,4,2,0,1,1,1,0,1,1,0,1,0,0
E06000015,Derby,E01013486,Derby 018D,Derby,"1,087",13,17,12,24,16,24,20,16,21,21,16,20,19,18,23,13,15,21,13,18,12,11,17,10,12,11,19,17,24,15,13,13,28,24,22,11,18,18,24,19,17,11,18,21,9,13,8,14,8,14,8,12,13,20,11,5,14,6,10,10,6,9,7,7,4,7,6,7,4,4,2,6,2,4,7,0,3,1,4,5,6,3,1,1,2,1,2,7,6,6,17
E06000015,Derby,E01013487,Derby 018E,Derby,"1,357",20,20,15,26,23,23,14,25,31,18,30,20,33,18,36,28,19,24,21,19,17,19,19,18,20,32,22,22,20,20,15,24,22,20,28,28,26,26,24,25,27,24,31,18,24,17,18,18,22,14,19,15,13,22,14,6,7,8,6,10,6,7,7,10,8,4,3,4,5,5,12,3,4,5,2,2,1,1,4,3,2,1,1,1,1,1,2,1,1,1,6
E06000015,Derby,E01013488,Derby 022A,Derby,780,8,4,11,10,12,4,9,8,9,10,6,10,7,14,12,9,6,15,6,5,4,6,10,5,11,7,4,4,12,8,7,14,10,11,8,8,4,7,7,12,8,9,13,8,11,11,6,17,8,13,12,9,6,11,10,10,14,8,8,6,15,14,7,4,7,7,8,6,15,7,10,12,9,16,8,13,10,10,8,9,4,2,2,9,7,4,5,4,2,2,12
E06000015,Derby,E01013489,Derby 022B,Derby,811,7,10,10,8,7,5,6,7,10,3,8,3,7,11,8,4,11,9,7,10,6,9,7,7,6,1,11,0,6,6,12,9,17,6,13,11,9,9,9,16,7,11,8,5,10,9,8,10,13,14,12,9,10,11,9,13,9,10,12,12,18,10,10,9,11,8,14,13,12,13,12,9,8,8,14,15,10,5,10,7,14,4,6,7,4,9,7,5,6,4,6
E06000015,Derby,E01013490,Derby 022C,Derby,821,10,8,11,10,13,7,9,4,4,8,14,7,10,8,10,8,9,8,8,8,6,6,4,2,3,12,5,10,7,11,5,12,9,7,9,6,7,13,6,10,13,11,13,6,11,11,10,11,7,12,9,7,7,14,12,18,19,7,11,24,9,9,11,11,9,10,11,12,6,12,11,9,10,13,12,12,10,4,10,7,4,9,5,3,6,7,2,4,5,6,15
