LAD 2021 Code,LAD 2021 Name,LSOA 2021 Code,LSOA 2021 Name,LA Name,Total,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
E06000015,Derby,E01013453,Derby 013A,Derby,"1,219",18,18,12,17,12,17,6,14,6,7,10,10,8,5,10,6,10,6,9,7,20,25,35,34,52,31,37,30,29,30,31,32,30,23,24,22,24,22,15,20,19,29,21,19,20,18,19,16,18,11,13,14,14,11,9,17,8,9,12,15,9,7,5,12,6,6,15,15,6,3,2,3,5,2,5,8,2,2,3,5,3,0,0,2,2,0,0,0,0,0,5
E06000015,Derby,E01013454,Derby 013B,Derby,719,6,6,18,14,11,6,12,13,10,13,16,9,12,13,6,14,8,7,4,6,5,7,8,17,19,15,16,12,11,11,12,17,13,15,12,4,9,13,10,14,14,18,17,13,7,7,10,7,9,13,9,9,9,9,9,5,4,3,6,3,4,2,7,6,9,12,4,6,5,6,1,7,3,3,6,4,0,3,3,0,0,1,0,0,0,0,1,0,0,0,1
E06000015,Derby,E01013455,Derby 017A,Derby,987,9,11,10,11,7,10,18,20,14,18,5,12,16,12,8,7,5,4,14,11,19,14,16,16,17,14,13,13,12,19,21,15,17,17,19,9,14,15,8,13,14,14,8,10,12,9,7,10,13,9,12,20,17,14,14,17,10,13,13,14,11,11,17,14,6,6,14,9,5,10,12,14,10,6,11,10,4,3,3,4,3,7,5,2,2,4,2,2,3,0,4
E06000015,Derby,E01013456,Derby 013C,Derby,974,10,14,11,10,19,12,14,7,11,9,10,11,5,11,9,7,7,8,6,3,9,9,13,19,24,19,20,16,19,19,20,24,14,19,20,28,22,19,23,22,21,22,14,7,14,14,15,16,9,6,16,16,14,12,10,10,7,13,10,14,14,10,14,11,12,4,3,9,8,3,8,6,3,3,4,2,2,4,1,3,4,4,1,1,4,1,0,0,1,0,2
E06000015,Derby,E01013457,Derby 013D,Derby,924,16,13,14,12,20,10,15,11,14,11,11,15,17,6,13,6,8,5,5,2,10,4,13,10,10,17,24,12,26,20,28,24,32,16,25,15,17,13,10,18,23,19,16,11,16,11,5,13,9,8,12,11,10,11,11,11,12,20,16,17,6,6,6,7,4,9,6,2,3,1,5,4,4,1,2,4,4,5,5,3,2,1,1,1,1,0,0,0,0,0,1
E06000015,Derby,E01013458,Derby 017B,Derby,909,14,9,17,10,16,9,6,4,7,7,10,10,8,9,9,12,13,9,10,17,15,12,6,15,11,11,12,18,15,15,15,16,16,15,13,7,10,9,9,16,9,11,13,13,4,12,12,10,11,7,10,13,15,9,16,13,14,11,10,5,9,10,14,6,8,6,10,13,5,10,9,8,10,3,4,12,5,5,4,5,7,3,7,6,6,6,6,4,7,4,17
E06000015,Derby,E01013459,Derby 020A,Derby,"1,072",18,14,7,7,14,9,16,10,13,18,20,20,21,23,26,24,26,25,19,16,24,24,22,19,18,9,15,11,14,12,16,10,11,9,11,13,10,13,12,16,17,16,15,18,14,17,19,16,15,17,18,18,16,10,12,7,10,6,8,4,8,8,8,9,9,12,8,4,12,9,7,4,4,7,4,3,2,2,6,1,5,7,4,3,7,0,2,3,1,1,4
E06000015,Derby,E01013460,Derby 013E,Derby,994,7,8,10,9,8,8,12,8,10,10,2,5,7,7,4,8,8,10,4,6,32,26,30,34,56,37,41,29,24,28,23,29,24,20,18,20,20,21,19,25,31,21,21,18,12,8,8,14,6,9,8,14,5,6,7,4,12,6,9,4,2,7,1,9,2,6,4,2,1,1,2,7,0,4,8,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1
E06000015,Derby,E01013461,Derby 001A,Derby,884,7,3,5,11,15,8,13,9,6,8,9,14,13,14,7,9,16,9,10,6,11,5,8,4,10,6,4,10,4,6,3,4,3,2,5,11,14,6,9,11,5,9,11,7,7,8,12,9,15,13,8,11,14,19,12,5,9,13,13,16,10,13,9,16,15,8,9,17,10,11,15,11,17,16,17,20,15,9,11,9,5,12,9,12,14,1,6,6,1,1,15
E06000015,Derby,E01013462,Derby 001B,Derby,774,16,8,7,11,10,3,7,5,17,14,19,9,7,14,8,11,10,9,15,9,8,10,8,11,3,6,5,6,4,6,11,10,9,6,11,8,2,6,3,6,6,11,8,11,18,6,10,11,12,17,9,11,7,13,11,14,14,17,10,8,15,8,10,7,7,15,8,10,9,8,5,8,12,7,11,7,8,4,6,2,7,3,5,4,1,5,1,2,2,1,4
E06000015,Derby,E01013463,Derby 001C,Derby,715,5,1,9,6,6,8,8,4,9,18,12,11,14,16,14,9,11,8,8,6,4,3,8,1,4,5,8,3,5,4,2,8,5,9,0,4,8,8,6,11,8,13,9,6,11,16,8,8,10,12,19,20,8,12,10,7,11,5,10,8,7,14,7,9,10,8,6,11,9,8,13,6,9,12,11,13,9,9,7,9,1,5,1,1,1,5,5,4,0,4,1
E06000015,Derby,E01013464,Derby 001D,Derby,691,3,7,3,3,5,14,7,10,10,13,11,11,8,17,11,3,9,7,3,8,2,5,5,4,4,5,4,2,5,6,4,4,5,4,6,7,9,7,9,7,15,10,10,4,9,7,12,4,10,7,11,14,5,15,11,7,7,11,11,8,16,7,11,4,5,7,8,1,3,7,7,6,10,13,13,13,8,10,12,5,6,6,4,7,6,10,5,6,10,6,4
E06000015,Derby,E01013465,Derby 002A,Derby,769,3,9,5,6,5,11,11,10,7,8,6,9,11,13,18,9,8,9,14,8,5,7,8,1,5,6,9,9,4,6,10,7,2,0,9,7,8,13,3,8,9,8,10,7,3,9,11,13,14,12,7,12,10,14,13,10,18,15,14,14,7,8,10,11,10,4,6,8,14,3,7,9,8,13,8,11,12,7,14,8,5,3,4,7,5,5,10,3,7,1,11
E06000015,Derby,E01013466,Derby 002B,Derby,707,3,10,5,2,5,9,8,8,5,8,5,7,5,9,7,7,7,5,8,7,8,5,4,7,10,8,6,1,10,6,9,3,1,6,5,9,7,10,3,7,14,12,5,9,7,5,7,6,6,6,12,12,8,9,15,19,10,14,18,14,16,17,7,12,11,11,11,8,10,9,7,7,10,10,8,11,9,9,6,6,4,2,4,5,4,5,1,5,5,5,9
E06000015,Derby,E01013467,Derby 002C,Derby,663,19,7,12,17,7,5,4,7,6,4,8,8,9,7,3,6,6,5,7,6,10,10,6,6,5,6,6,6,3,2,6,7,6,9,11,5,9,7,11,13,8,9,10,7,5,9,8,5,9,4,6,11,11,8,5,7,7,11,9,7,5,8,5,7,6,8,9,3,5,7,11,9,10,7,6,6,7,10,14,8,3,4,6,1,8,6,7,6,7,8,3
E06000015,Derby,E01013468,Derby 002D,Derby,777,3,2,4,7,3,8,7,9,10,16,12,15,11,2,8,6,12,9,8,6,5,7,4,3,8,7,7,7,5,4,5,3,11,5,6,7,12,12,7,10,12,9,9,6,14,7,4,6,10,6,10,12,14,14,6,14,11,15,7,10,11,9,17,10,14,7,11,6,11,13,10,10,11,8,20,10,12,10,5,6,4,6,4,6,9,7,8,6,7,10,10
E06000015,Derby,E01013469,Derby 002E,Derby,627,1,7,3,2,7,16,4,6,8,6,2,1,2,3,5,3,2,6,2,1,6,3,5,4,5,5,3,4,4,3,7,6,7,9,7,6,7,6,7,6,5,9,6,3,4,13,9,7,7,5,6,13,7,3,5,6,9,11,5,8,5,7,11,4,6,5,5,11,6,10,8,14,6,12,16,9,14,13,7,10,13,7,12,9,12,8,9,6,9,6,19
E06000015,Derby,E01013470,Derby 024A,Derby,680,5,14,6,9,5,13,7,14,17,10,8,8,9,9,10,6,6,6,4,9,5,7,5,5,5,6,8,4,6,5,13,13,10,11,11,12,7,20,9,9,8,8,6,9,4,4,5,4,8,9,10,9,11,9,11,7,16,12,6,7,12,9,12,10,4,9,6,6,4,5,11,6,6,2,10,9,0,7,4,2,4,2,2,1,3,2,3,3,3,5,9
E06000015,Derby,E01013471,Derby 025A,Derby,907,13,12,10,7,16,18,10,9,13,13,8,12,13,11,15,14,9,14,9,11,10,9,17,12,13,14,20,14,21,15,15,21,20,23,15,19,16,12,9,11,19,20,10,13,16,11,9,6,9,11,13,6,6,17,16,14,10,18,13,8,9,8,11,10,10,8,3,4,4,4,3,3,4,3,0,3,2,3,4,1,2,4,2,3,1,4,0,2,0,3,1
E06000015,Derby,E01013472,Derby 026A,Derby,"1,219",22,17,11,17,17,14,18,21,17,19,27,11,22,19,19,15,13,11,13,12,11,6,19,7,10,22,25,37,15,27,17,10,17,19,21,39,49,38,30,41,17,16,17,12,12,7,9,14,13,11,11,7,6,11,11,17,10,14,14,11,9,9,9,7,6,14,16,10,15,3,4,6,4,2,5,10,3,7,4,5,5,2,3,4,8,2,3,0,2,1,6
