LAD 2021 Code,LAD 2021 Name,LSOA 2021 Code,LSOA 2021 Name,LA Name,Total,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
E06000015,Derby,E01013453,Derby 013A,Derby,"2,341",33,36,31,36,25,25,14,19,17,16,20,22,14,11,22,18,23,13,16,18,44,62,77,66,76,56,63,57,55,63,65,62,60,48,43,45,42,44,29,33,36,50,37,28,37,27,23,21,23,21,24,22,25,24,19,29,21,17,22,27,24,10,10,20,15,13,19,20,12,8,7,6,8,3,10,13,5,10,5,10,8,3,4,7,5,5,4,1,2,5,17
E06000015,Derby,E01013454,Derby 013B,Derby,"1,446",14,12,21,20,16,19,29,25,21,25,28,18,18,24,12,23,17,23,11,17,16,15,20,32,33,28,23,25,21,24,22,30,19,27,22,16,25,28,30,28,26,32,24,27,16,18,14,15,20,21,16,21,15,17,24,12,8,9,12,6,11,4,14,20,15,22,16,16,15,13,4,9,6,6,9,7,3,8,8,0,0,1,1,0,0,0,2,1,2,0,3
E06000015,Derby,E01013455,Derby 017A,Derby,"1,981",20,24,18,23,18,22,30,26,18,28,21,22,21,21,18,17,12,8,19,19,25,21,27,30,26,31,23,32,29,33,39,38,29,34,32,30,27,26,25,30,26,25,17,25,16,19,18,23,27,21,32,34,32,33,29,31,22,26,24,31,26,23,22,27,25,20,28,22,14,18,18,20,21,13,22,14,8,10,8,12,9,10,15,4,5,8,10,8,7,6,25
E06000015,Derby,E01013456,Derby 013C,Derby,"1,871",22,26,21,22,33,24,24,16,22,20,20,21,13,21,21,19,13,16,14,11,25,31,37,41,43,42,32,33,43,42,39,41,34,29,31,42,40,37,44,41,38,34,26,20,24,23,32,29,14,15,19,25,19,22,21,18,19,25,23,25,25,19,22,14,20,7,8,14,13,9,9,10,4,6,9,10,6,7,4,3,6,5,4,4,6,1,2,1,3,0,3
E06000015,Derby,E01013457,Derby 013D,Derby,"1,808",29,20,23,22,31,20,30,19,20,22,19,20,26,16,23,14,13,15,10,4,15,14,21,25,21,45,52,33,45,37,43,50,53,33,45,26,37,34,31,35,36,37,34,31,30,21,17,28,21,16,20,20,19,19,19,22,21,34,23,28,20,13,12,17,13,15,13,5,7,4,9,7,10,5,9,9,8,9,6,4,3,2,4,4,3,0,0,1,1,0,8
E06000015,Derby,E01013458,Derby 017B,Derby,"1,853",23,19,24,20,25,26,14,18,24,17,18,18,16,19,21,23,28,21,19,24,24,24,19,22,18,23,30,26,35,30,25,28,27,26,25,14,23,20,25,30,18,20,21,23,16,20,24,17,18,13,24,29,31,20,30,22,27,20,23,12,20,21,28,13,16,14,19,19,11,18,17,18,14,13,11,20,8,19,19,15,13,11,12,16,16,13,13,15,8,9,55
E06000015,Derby,E01013459,Derby 020A,Derby,"2,078",30,26,23,18,28,22,27,25,28,31,34,41,34,42,46,43,40,43,34,28,38,35,35,27,30,32,28,27,28,22,28,16,23,23,18,25,25,30,26,31,34,37,32,36,26,33,32,33,28,35,32,31,34,26,21,18,19,16,21,17,18,13,14,16,16,23,18,11,18,18,13,8,12,11,14,7,8,5,9,5,13,11,8,7,9,2,4,4,1,2,9
E06000015,Derby,E01013460,Derby 013E,Derby,"1,871",15,17,19,18,14,20,21,16,17,17,10,9,14,12,13,12,17,18,11,12,46,65,79,78,93,73,76,65,50,68,37,42,39,33,36,30,36,37,32,32,48,31,31,25,17,15,14,25,12,24,18,23,11,9,12,15,16,11,14,11,5,13,3,11,5,12,6,6,7,2,7,12,0,4,9,2,3,3,6,2,0,3,2,0,0,2,2,2,0,2,9
E06000015,Derby,E01013461,Derby 001A,Derby,"1,744",9,10,12,20,27,15,17,18,10,18,18,24,22,28,20,14,24,18,21,13,28,11,20,9,21,10,14,14,10,9,9,8,11,7,8,16,18,22,19,18,11,22,24,20,17,16,19,19,23,22,22,26,23,28,28,18,23,22,31,30,23,30,18,26,30,20,20,32,25,27,26,21,32,31,28,34,30,22,27,16,10,23,18,17,23,6,8,7,2,5,23
E06000015,Derby,E01013462,Derby 001B,Derby,"1,543",25,15,15,18,13,11,19,14,23,25,26,27,17,26,18,17,21,14,21,13,12,12,18,15,8,13,11,10,9,13,23,24,23,14,19,10,7,14,10,15,13,18,21,24,28,17,22,29,20,31,24,20,24,21,22,28,27,28,26,19,23,15,20,18,20,21,20,14,18,13,13,13,17,14,21,17,11,12,10,6,13,7,9,8,7,15,9,8,6,5,20
E06000015,Derby,E01013463,Derby 001C,Derby,"1,494",8,7,16,15,11,16,19,17,16,25,23,24,19,29,27,17,19,20,16,12,10,11,15,7,11,11,16,14,9,10,4,11,12,14,11,9,15,15,16,21,20,26,16,17,22,25,17,19,30,28,27,31,21,23,18,17,21,20,21,19,16,21,14,16,16,17,14,26,19,20,27,12,19,22,26,24,17,27,14,19,3,8,3,5,7,8,13,6,3,6,10
E06000015,Derby,E01013464,Derby 001D,Derby,"1,433",6,12,11,18,14,19,11,18,20,18,23,19,15,27,21,10,18,14,10,14,7,9,11,7,7,11,4,8,7,9,8,7,14,14,14,13,13,15,16,14,23,23,21,13,11,16,23,13,19,16,19,17,17,26,21,17,18,25,20,24,30,18,21,12,11,12,18,9,8,19,20,11,26,26,21,28,18,22,26,16,9,11,15,16,16,21,6,13,15,9,22
E06000015,Derby,E01013465,Derby 002A,Derby,"1,588",8,15,14,12,8,16,17,21,16,16,21,14,17,28,29,23,16,13,27,17,9,11,12,7,10,10,13,17,8,12,18,11,13,3,16,12,18,20,5,14,17,13,27,18,13,14,24,26,21,19,21,27,21,28,37,22,35,30,24,27,9,14,14,20,19,16,15,14,27,10,17,22,16,21,20,29,19,15,25,18,18,17,11,18,13,20,16,9,14,6,35
E06000015,Derby,E01013466,Derby 002B,Derby,"1,542",7,16,13,10,13,11,15,13,15,13,15,12,18,12,21,13,20,14,22,15,15,14,9,11,16,13,10,3,13,13,18,12,7,13,13,11,18,15,7,17,27,21,21,13,21,16,13,14,16,15,30,29,17,20,26,35,24,33,27,24,28,31,22,25,20,20,19,24,20,19,19,15,22,21,21,24,18,19,18,17,12,11,11,9,13,16,7,17,10,15,21
E06000015,Derby,E01013467,Derby 002C,Derby,"1,401",26,13,19,26,14,15,9,18,14,15,16,20,18,12,16,13,10,13,8,9,15,17,9,12,7,13,11,10,7,15,18,12,17,16,15,15,19,20,25,27,14,18,17,12,14,15,20,10,15,15,11,18,17,17,12,20,16,25,21,13,16,15,15,17,16,18,16,12,14,20,17,20,22,14,12,17,13,22,23,18,12,8,15,11,19,10,21,7,11,17,9
E06000015,Derby,E01013468,Derby 002D,Derby,"1,556",8,4,12,10,10,16,18,16,16,25,22,24,16,6,15,13,14,15,12,12,13,12,10,12,15,13,12,11,7,6,10,10,16,11,16,13,26,18,10,16,20,21,24,16,24,20,12,15,17,15,21,19,29,20,14,19,25,29,21,15,30,23,28,24,30,19,21,17,19,25,16,18,25,14,27,24,26,21,13,14,9,15,17,16,15,18,21,8,17,17,32
E06000015,Derby,E01013469,Derby 002E,Derby,"1,310",4,8,7,4,12,18,8,11,12,12,12,5,6,9,9,11,5,13,2,4,13,7,11,10,9,11,10,10,9,10,12,15,16,14,11,11,16,12,14,10,12,12,9,10,10,18,11,11,15,6,10,18,16,8,11,13,17,19,15,17,18,17,14,13,18,10,13,21,17,15,16,23,17,29,39,30,23,20,16,26,28,16,23,23,25,16,26,20,17,12,48
