LSOA21CD,LSOA21NM,LAD23CD,LAD23NM,ObjectId,utla_name
E01013453,Derby 013A,E06000015,Derby,1236,Derby
E01013454,Derby 013B,E06000015,Derby,1237,Derby
E01013455,Derby 017A,E06000015,Derby,1238,Derby
E01013456,Derby 013C,E06000015,Derby,1239,Derby
E01013457,Derby 013D,E06000015,Derby,1240,Derby
E01013458,Derby 017B,E06000015,Derby,1241,Derby
E01013459,Derby 020A,E06000015,Derby,1242,Derby
E01013460,Derby 013E,E06000015,Derby,1243,Derby
E01013461,Derby 001A,E06000015,Derby,1244,Derby
E01013462,Derby 001B,E06000015,Derby,1245,Derby
E01013463,Derby 001C,E06000015,Derby,1246,Derby
E01013464,Derby 001D,E06000015,Derby,1247,Derby
E01013465,Derby 002A,E06000015,Derby,1248,Derby
E01013466,Derby 002B,E06000015,Derby,1249,Derby
E01013467,Derby 002C,E06000015,Derby,1250,Derby
E01013468,Derby 002D,E06000015,Derby,1251,Derby
E01013469,Derby 002E,E06000015,Derby,1327,Derby
E01013470,Derby 024A,E06000015,Derby,1331,Derby
E01013471,Derby 025A,E06000015,Derby,1335,Derby
E01013472,Derby 026A,E06000015,Derby,1339,Derby
E01013473,Derby 025B,E06000015,Derby,1343,Derby
E01013474,Derby 024B,E06000015,Derby,1347,Derby
E01013475,Derby 025C,E06000015,Derby,1400,Derby
E01013476,Derby 024C,E06000015,Derby,1401,Derby
E01013477,Derby 025D,E06000015,Derby,1402,Derby
E01013480,Derby 016A,E06000015,Derby,1403,Derby
E01013481,Derby 018A,E06000015,Derby,1404,Derby
E01013483,Derby 016B,E06000015,Derby,1405,Derby
E01013484,Derby 018C,E06000015,Derby,1406,Derby
E01013485,Derby 016C,E06000015,Derby,1407,Derby
E01013486,Derby 018D,E06000015,Derby,1408,Derby
E01013487,Derby 018E,E06000015,Derby,1409,Derby
E01013488,Derby 022A,E06000015,Derby,1410,Derby
E01013489,Derby 022B,E06000015,Derby,1411,Derby
E01013490,Derby 022C,E06000015,Derby,1412,Derby
E01013491,Derby 022D,E06000015,Derby,1413,Derby
E01013492,Derby 027A,E06000015,Derby,1414,Derby
E01013493,Derby 027B,E06000015,Derby,1415,Derby
E01013494,Derby 027C,E06000015,Derby,1416,Derby
E01013495,Derby 027D,E06000015,Derby,1417,Derby
E01013496,Derby 028A,E06000015,Derby,1418,Derby
E01013497,Derby 026B,E06000015,Derby,1419,Derby
E01013498,Derby 028B,E06000015,Derby,1420,Derby
E01013499,Derby 028C,E06000015,Derby,1421,Derby
E01013500,Derby 028D,E06000015,Derby,1422,Derby
E01013501,Derby 028E,E06000015,Derby,1423,Derby
E01013502,Derby 025E,E06000015,Derby,1424,Derby
E01013503,Derby 025F,E06000015,Derby,1425,Derby
E01013504,Derby 026C,E06000015,Derby,1426,Derby
E01013505,Derby 006A,E06000015,Derby,1427,Derby
E01013506,Derby 006B,E06000015,Derby,1428,Derby
E01013507,Derby 012A,E06000015,Derby,1429,Derby
E01013508,Derby 012B,E06000015,Derby,1430,Derby
E01013509,Derby 012C,E06000015,Derby,1431,Derby
E01013510,Derby 012D,E06000015,Derby,1432,Derby
E01013511,Derby 012E,E06000015,Derby,1433,Derby
E01013512,Derby 012F,E06000015,Derby,1434,Derby
E01013513,Derby 006C,E06000015,Derby,1435,Derby
E01013514,Derby 031A,E06000015,Derby,1436,Derby
E01013515,Derby 031B,E06000015,Derby,1437,Derby
E01013517,Derby 030B,E06000015,Derby,1455,Derby
E01013518,Derby 030C,E06000015,Derby,1458,Derby
E01013519,Derby 031C,E06000015,Derby,1462,Derby
E01013520,Derby 031D,E06000015,Derby,1466,Derby
E01013521,Derby 030D,E06000015,Derby,1470,Derby
E01013522,Derby 008A,E06000015,Derby,1473,Derby
E01013573,Derby 023D,E06000015,Derby,1621,Derby
E01013523,Derby 008B,E06000015,Derby,1623,Derby
E01013574,Derby 003A,E06000015,Derby,1627,Derby
E01013575,Derby 003B,E06000015,Derby,1697,Derby
E01013576,Derby 003C,E06000015,Derby,1699,Derby
E01013577,Derby 003D,E06000015,Derby,1701,Derby
E01013524,Derby 008C,E06000015,Derby,1702,Derby
E01013578,Derby 003E,E06000015,Derby,1736,Derby
E01013525,Derby 008D,E06000015,Derby,1738,Derby
E01013579,Derby 003F,E06000015,Derby,1739,Derby
E01013526,Derby 005A,E06000015,Derby,1742,Derby
E01013580,Derby 003G,E06000015,Derby,1744,Derby
E01013527,Derby 005B,E06000015,Derby,1747,Derby
E01013581,Derby 004D,E06000015,Derby,1749,Derby
E01013528,Derby 005C,E06000015,Derby,1751,Derby
E01013582,Derby 006E,E06000015,Derby,1753,Derby
E01013529,Derby 005D,E06000015,Derby,1755,Derby
E01013583,Derby 026D,E06000015,Derby,1757,Derby
E01013530,Derby 004A,E06000015,Derby,1759,Derby
E01013584,Derby 029A,E06000015,Derby,1761,Derby
E01013531,Derby 004B,E06000015,Derby,1763,Derby
E01013532,Derby 004C,E06000015,Derby,1764,Derby
E01013533,Derby 007A,E06000015,Derby,1765,Derby
E01013534,Derby 006D,E06000015,Derby,1766,Derby
E01013535,Derby 007B,E06000015,Derby,1767,Derby
E01013536,Derby 007C,E06000015,Derby,1768,Derby
E01013537,Derby 007D,E06000015,Derby,1769,Derby
E01013538,Derby 007E,E06000015,Derby,1770,Derby
E01013539,Derby 021A,E06000015,Derby,1771,Derby
E01013540,Derby 019A,E06000015,Derby,1772,Derby
E01013541,Derby 021B,E06000015,Derby,1773,Derby
E01013542,Derby 017C,E06000015,Derby,1774,Derby
E01013543,Derby 021C,E06000015,Derby,1775,Derby
E01013544,Derby 021D,E06000015,Derby,1776,Derby
E01013545,Derby 021E,E06000015,Derby,1777,Derby
E01013546,Derby 017D,E06000015,Derby,1778,Derby
E01013547,Derby 011A,E06000015,Derby,1779,Derby
E01013548,Derby 009A,E06000015,Derby,1780,Derby
E01013549,Derby 009B,E06000015,Derby,1781,Derby
E01013550,Derby 011B,E06000015,Derby,1782,Derby
E01013551,Derby 011C,E06000015,Derby,1783,Derby
E01013552,Derby 009C,E06000015,Derby,1784,Derby
E01013553,Derby 009D,E06000015,Derby,1785,Derby
E01013554,Derby 011D,E06000015,Derby,1786,Derby
E01013555,Derby 009E,E06000015,Derby,1787,Derby
E01013556,Derby 015A,E06000015,Derby,1788,Derby
E01013557,Derby 015B,E06000015,Derby,1789,Derby
E01013558,Derby 015C,E06000015,Derby,1790,Derby
E01013559,Derby 015D,E06000015,Derby,1791,Derby
E01013560,Derby 019B,E06000015,Derby,1792,Derby
E01013561,Derby 019C,E06000015,Derby,1793,Derby
E01013562,Derby 019D,E06000015,Derby,1794,Derby
E01013563,Derby 019E,E06000015,Derby,1795,Derby
E01013564,Derby 015E,E06000015,Derby,1796,Derby
E01013565,Derby 016D,E06000015,Derby,1797,Derby
E01013566,Derby 016E,E06000015,Derby,1798,Derby
E01013567,Derby 020B,E06000015,Derby,1799,Derby
E01013568,Derby 020C,E06000015,Derby,1800,Derby
E01013569,Derby 020D,E06000015,Derby,1801,Derby
E01013570,Derby 023A,E06000015,Derby,1802,Derby
E01013571,Derby 023B,E06000015,Derby,1803,Derby
E01013572,Derby 023C,E06000015,Derby,1804,Derby
E01013585,Derby 029B,E06000015,Derby,1806,Derby
E01013586,Derby 029C,E06000015,Derby,1810,Derby
E01013587,Derby 029D,E06000015,Derby,1814,Derby
E01013588,Derby 029E,E06000015,Derby,1818,Derby
E01013589,Derby 029F,E06000015,Derby,1822,Derby
E01013590,Derby 026E,E06000015,Derby,1826,Derby
E01013591,Derby 026F,E06000015,Derby,1830,Derby
E01013592,Derby 010A,E06000015,Derby,1834,Derby
E01013593,Derby 014A,E06000015,Derby,1900,Derby
E01013594,Derby 010B,E06000015,Derby,1913,Derby
E01013595,Derby 014B,E06000015,Derby,1915,Derby
E01013596,Derby 010C,E06000015,Derby,1917,Derby
E01013597,Derby 014C,E06000015,Derby,1919,Derby
E01013598,Derby 014D,E06000015,Derby,1921,Derby
E01013599,Derby 010D,E06000015,Derby,1923,Derby
E01033166,Derby 018F,E06000015,Derby,1925,Derby
E01033167,Derby 018G,E06000015,Derby,1927,Derby
E01033168,Derby 030E,E06000015,Derby,1929,Derby
E01033169,Derby 030F,E06000015,Derby,1931,Derby
E01033170,Derby 030G,E06000015,Derby,1932,Derby
E01033171,Derby 024E,E06000015,Derby,1933,Derby
E01033172,Derby 024F,E06000015,Derby,1934,Derby
E01034256,Derby 013G,E06000015,Derby,1935,Derby
E01034257,Derby 013H,E06000015,Derby,1936,Derby
E01019400,Amber Valley 001A,E07000032,Amber Valley,10061,Derbyshire
E01019401,Amber Valley 001B,E07000032,Amber Valley,10062,Derbyshire
E01019402,Amber Valley 001C,E07000032,Amber Valley,10063,Derbyshire
E01019403,Amber Valley 003A,E07000032,Amber Valley,10064,Derbyshire
E01019404,Amber Valley 001D,E07000032,Amber Valley,10065,Derbyshire
E01019405,Amber Valley 007A,E07000032,Amber Valley,10066,Derbyshire
E01019406,Amber Valley 002A,E07000032,Amber Valley,10067,Derbyshire
E01019407,Amber Valley 010A,E07000032,Amber Valley,10068,Derbyshire
E01019408,Amber Valley 009A,E07000032,Amber Valley,10069,Derbyshire
E01019409,Amber Valley 009B,E07000032,Amber Valley,10070,Derbyshire
E01019410,Amber Valley 011A,E07000032,Amber Valley,10071,Derbyshire
E01019411,Amber Valley 011B,E07000032,Amber Valley,10072,Derbyshire
E01019412,Amber Valley 009C,E07000032,Amber Valley,10073,Derbyshire
E01019413,Amber Valley 009D,E07000032,Amber Valley,10074,Derbyshire
E01019414,Amber Valley 007B,E07000032,Amber Valley,10075,Derbyshire
E01019415,Amber Valley 010B,E07000032,Amber Valley,10076,Derbyshire
E01019416,Amber Valley 009E,E07000032,Amber Valley,10077,Derbyshire
E01019417,Amber Valley 010C,E07000032,Amber Valley,10078,Derbyshire
E01019418,Amber Valley 011C,E07000032,Amber Valley,10079,Derbyshire
E01019419,Amber Valley 010D,E07000032,Amber Valley,10080,Derbyshire
E01019420,Amber Valley 005A,E07000032,Amber Valley,10081,Derbyshire
E01019421,Amber Valley 008A,E07000032,Amber Valley,10082,Derbyshire
E01019422,Amber Valley 008B,E07000032,Amber Valley,10083,Derbyshire
E01019423,Amber Valley 002B,E07000032,Amber Valley,10084,Derbyshire
E01019424,Amber Valley 002C,E07000032,Amber Valley,10085,Derbyshire
E01019425,Amber Valley 016A,E07000032,Amber Valley,10086,Derbyshire
E01019426,Amber Valley 016B,E07000032,Amber Valley,10087,Derbyshire
E01019427,Amber Valley 016C,E07000032,Amber Valley,10088,Derbyshire
E01019428,Amber Valley 007C,E07000032,Amber Valley,10089,Derbyshire
E01019429,Amber Valley 006A,E07000032,Amber Valley,10090,Derbyshire
E01019430,Amber Valley 007D,E07000032,Amber Valley,10091,Derbyshire
E01019431,Amber Valley 012A,E07000032,Amber Valley,10092,Derbyshire
E01019432,Amber Valley 008C,E07000032,Amber Valley,10093,Derbyshire
E01019433,Amber Valley 012B,E07000032,Amber Valley,10094,Derbyshire
E01019434,Amber Valley 013A,E07000032,Amber Valley,10095,Derbyshire
E01019435,Amber Valley 013B,E07000032,Amber Valley,10096,Derbyshire
E01019436,Amber Valley 013C,E07000032,Amber Valley,10097,Derbyshire
E01019437,Amber Valley 017A,E07000032,Amber Valley,10098,Derbyshire
E01019438,Amber Valley 012C,E07000032,Amber Valley,10099,Derbyshire
E01019439,Amber Valley 013D,E07000032,Amber Valley,10100,Derbyshire
E01019440,Amber Valley 013E,E07000032,Amber Valley,10101,Derbyshire
E01019490,Bolsover 005D,E07000033,Bolsover,10104,Derbyshire
E01019491,Bolsover 001C,E07000033,Bolsover,10105,Derbyshire
E01019492,Bolsover 002A,E07000033,Bolsover,10106,Derbyshire
E01019493,Bolsover 001D,E07000033,Bolsover,10107,Derbyshire
E01019495,Bolsover 002B,E07000033,Bolsover,10108,Derbyshire
E01019496,Bolsover 003A,E07000033,Bolsover,10109,Derbyshire
E01019497,Bolsover 003B,E07000033,Bolsover,10110,Derbyshire
E01019498,Bolsover 003C,E07000033,Bolsover,10111,Derbyshire
E01019499,Bolsover 010A,E07000033,Bolsover,10112,Derbyshire
E01019500,Bolsover 010B,E07000033,Bolsover,10113,Derbyshire
E01019501,Bolsover 010C,E07000033,Bolsover,10114,Derbyshire
E01019502,Bolsover 005E,E07000033,Bolsover,10115,Derbyshire
E01019503,Bolsover 007A,E07000033,Bolsover,10116,Derbyshire
E01019504,Bolsover 005F,E07000033,Bolsover,10117,Derbyshire
E01019505,Bolsover 007B,E07000033,Bolsover,10118,Derbyshire
E01019506,Bolsover 007C,E07000033,Bolsover,10119,Derbyshire
E01019507,Bolsover 007D,E07000033,Bolsover,10120,Derbyshire
E01019508,Bolsover 006A,E07000033,Bolsover,10121,Derbyshire
E01019509,Bolsover 006B,E07000033,Bolsover,10122,Derbyshire
E01019510,Bolsover 006C,E07000033,Bolsover,10123,Derbyshire
E01019511,Bolsover 007E,E07000033,Bolsover,10124,Derbyshire
E01019513,Bolsover 010D,E07000033,Bolsover,10125,Derbyshire
E01019514,Bolsover 009B,E07000033,Bolsover,10126,Derbyshire
E01019515,Bolsover 009C,E07000033,Bolsover,10127,Derbyshire
E01019441,Amber Valley 017B,E07000032,Amber Valley,10129,Derbyshire
E01019516,Bolsover 009D,E07000033,Bolsover,10131,Derbyshire
E01019517,Bolsover 010E,E07000033,Bolsover,10132,Derbyshire
E01019518,Bolsover 010F,E07000033,Bolsover,10133,Derbyshire
E01019519,Bolsover 009E,E07000033,Bolsover,10134,Derbyshire
E01019520,Bolsover 008C,E07000033,Bolsover,10135,Derbyshire
E01019521,Bolsover 008D,E07000033,Bolsover,10136,Derbyshire
E01019522,Bolsover 008E,E07000033,Bolsover,10137,Derbyshire
E01019523,Bolsover 003D,E07000033,Bolsover,10138,Derbyshire
E01019524,Bolsover 002C,E07000033,Bolsover,10139,Derbyshire
E01019525,Bolsover 002D,E07000033,Bolsover,10140,Derbyshire
E01034644,Bolsover 001F,E07000033,Bolsover,10141,Derbyshire
E01034645,Bolsover 001G,E07000033,Bolsover,10142,Derbyshire
E01034646,Bolsover 006E,E07000033,Bolsover,10143,Derbyshire
E01034647,Bolsover 006F,E07000033,Bolsover,10144,Derbyshire
E01019526,Chesterfield 001A,E07000034,Chesterfield,10145,Derbyshire
E01019527,Chesterfield 003A,E07000034,Chesterfield,10146,Derbyshire
E01019528,Chesterfield 001B,E07000034,Chesterfield,10147,Derbyshire
E01019529,Chesterfield 003B,E07000034,Chesterfield,10148,Derbyshire
E01019530,Chesterfield 003C,E07000034,Chesterfield,10149,Derbyshire
E01019531,Chesterfield 003D,E07000034,Chesterfield,10150,Derbyshire
E01019532,Chesterfield 005A,E07000034,Chesterfield,10151,Derbyshire
E01019533,Chesterfield 005B,E07000034,Chesterfield,10152,Derbyshire
E01019534,Chesterfield 005C,E07000034,Chesterfield,10153,Derbyshire
E01019535,Chesterfield 005D,E07000034,Chesterfield,10154,Derbyshire
E01019536,Chesterfield 005E,E07000034,Chesterfield,10155,Derbyshire
E01019537,Chesterfield 007A,E07000034,Chesterfield,10156,Derbyshire
E01019442,Amber Valley 005B,E07000032,Amber Valley,10253,Derbyshire
E01019443,Amber Valley 004A,E07000032,Amber Valley,10306,Derbyshire
E01019444,Amber Valley 003B,E07000032,Amber Valley,10354,Derbyshire
E01019445,Amber Valley 005C,E07000032,Amber Valley,10355,Derbyshire
E01019446,Amber Valley 015A,E07000032,Amber Valley,10356,Derbyshire
E01019447,Amber Valley 011D,E07000032,Amber Valley,10357,Derbyshire
E01019448,Amber Valley 015B,E07000032,Amber Valley,10358,Derbyshire
E01019449,Amber Valley 011E,E07000032,Amber Valley,10359,Derbyshire
E01019450,Amber Valley 015C,E07000032,Amber Valley,10360,Derbyshire
E01019451,Amber Valley 012D,E07000032,Amber Valley,10361,Derbyshire
E01019452,Amber Valley 017C,E07000032,Amber Valley,10362,Derbyshire
E01019453,Amber Valley 017D,E07000032,Amber Valley,10363,Derbyshire
E01019454,Amber Valley 006B,E07000032,Amber Valley,10364,Derbyshire
E01019455,Amber Valley 005D,E07000032,Amber Valley,10365,Derbyshire
E01019456,Amber Valley 005E,E07000032,Amber Valley,10366,Derbyshire
E01019457,Amber Valley 005F,E07000032,Amber Valley,10367,Derbyshire
E01019458,Amber Valley 008D,E07000032,Amber Valley,10368,Derbyshire
E01019459,Amber Valley 008E,E07000032,Amber Valley,10369,Derbyshire
E01019460,Amber Valley 006C,E07000032,Amber Valley,10370,Derbyshire
E01019461,Amber Valley 006D,E07000032,Amber Valley,10371,Derbyshire
E01019462,Amber Valley 006E,E07000032,Amber Valley,10372,Derbyshire
E01019463,Amber Valley 008F,E07000032,Amber Valley,10373,Derbyshire
E01019464,Amber Valley 012E,E07000032,Amber Valley,10374,Derbyshire
E01019465,Amber Valley 015D,E07000032,Amber Valley,10375,Derbyshire
E01019467,Amber Valley 015E,E07000032,Amber Valley,10376,Derbyshire
E01019468,Amber Valley 003C,E07000032,Amber Valley,10377,Derbyshire
E01019469,Amber Valley 003D,E07000032,Amber Valley,10378,Derbyshire
E01019470,Amber Valley 004B,E07000032,Amber Valley,10379,Derbyshire
E01019471,Amber Valley 003E,E07000032,Amber Valley,10380,Derbyshire
E01019473,Amber Valley 004C,E07000032,Amber Valley,10381,Derbyshire
E01019474,Amber Valley 004D,E07000032,Amber Valley,10382,Derbyshire
E01019475,Amber Valley 004E,E07000032,Amber Valley,10383,Derbyshire
E01019476,Amber Valley 004F,E07000032,Amber Valley,10384,Derbyshire
E01019477,Amber Valley 002D,E07000032,Amber Valley,10385,Derbyshire
E01032613,Amber Valley 017E,E07000032,Amber Valley,10386,Derbyshire
E01034254,Amber Valley 016E,E07000032,Amber Valley,10387,Derbyshire
E01034255,Amber Valley 016F,E07000032,Amber Valley,10388,Derbyshire
E01019478,Bolsover 001A,E07000033,Bolsover,10389,Derbyshire
E01019479,Bolsover 001B,E07000033,Bolsover,10390,Derbyshire
E01019480,Bolsover 008A,E07000033,Bolsover,10391,Derbyshire
E01019481,Bolsover 009A,E07000033,Bolsover,10392,Derbyshire
E01019482,Bolsover 008B,E07000033,Bolsover,10393,Derbyshire
E01019483,Bolsover 004A,E07000033,Bolsover,10394,Derbyshire
E01019484,Bolsover 004B,E07000033,Bolsover,10395,Derbyshire
E01019485,Bolsover 004C,E07000033,Bolsover,10396,Derbyshire
E01019486,Bolsover 005A,E07000033,Bolsover,10397,Derbyshire
E01019487,Bolsover 005B,E07000033,Bolsover,10398,Derbyshire
E01019488,Bolsover 004D,E07000033,Bolsover,10399,Derbyshire
E01019489,Bolsover 005C,E07000033,Bolsover,10400,Derbyshire
E01019788,North East Derbyshire 005C,E07000038,North East Derbyshire,10401,Derbyshire
E01019790,North East Derbyshire 002C,E07000038,North East Derbyshire,10402,Derbyshire
E01019791,North East Derbyshire 014A,E07000038,North East Derbyshire,10403,Derbyshire
E01019792,North East Derbyshire 014B,E07000038,North East Derbyshire,10404,Derbyshire
E01019793,North East Derbyshire 006D,E07000038,North East Derbyshire,10405,Derbyshire
E01019794,North East Derbyshire 005D,E07000038,North East Derbyshire,10406,Derbyshire
E01019795,North East Derbyshire 006E,E07000038,North East Derbyshire,10407,Derbyshire
E01019796,North East Derbyshire 009A,E07000038,North East Derbyshire,10408,Derbyshire
E01019797,North East Derbyshire 009B,E07000038,North East Derbyshire,10409,Derbyshire
E01019798,North East Derbyshire 007A,E07000038,North East Derbyshire,10410,Derbyshire
E01019799,North East Derbyshire 009C,E07000038,North East Derbyshire,10411,Derbyshire
E01019800,North East Derbyshire 009D,E07000038,North East Derbyshire,10412,Derbyshire
E01019801,North East Derbyshire 001A,E07000038,North East Derbyshire,10413,Derbyshire
E01019802,North East Derbyshire 001B,E07000038,North East Derbyshire,10414,Derbyshire
E01019803,North East Derbyshire 001C,E07000038,North East Derbyshire,10415,Derbyshire
E01019804,North East Derbyshire 001D,E07000038,North East Derbyshire,10416,Derbyshire
E01019805,North East Derbyshire 001E,E07000038,North East Derbyshire,10417,Derbyshire
E01019806,North East Derbyshire 001F,E07000038,North East Derbyshire,10418,Derbyshire
E01019807,North East Derbyshire 001G,E07000038,North East Derbyshire,10419,Derbyshire
E01019808,North East Derbyshire 009E,E07000038,North East Derbyshire,10420,Derbyshire
E01019809,North East Derbyshire 011A,E07000038,North East Derbyshire,10421,Derbyshire
