local authority,All Ages,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,Year,Gender
Derby,"259,877",3014,3021,3072,3084,3189,3287,3351,3427,3449,3532,3603,3506,3571,3522,3613,3455,3244,3200,3285,3790,3882,3869,3569,3532,3500,3535,3491,3397,3507,3719,3722,3771,3721,3734,3505,3460,3509,3357,3350,3265,3212,3406,3183,3164,2919,2793,2913,2915,3038,3083,3194,3338,3265,3485,3372,3349,3382,3309,3284,3085,3103,2805,2740,2642,2547,2437,2380,2125,2245,2151,2087,2010,2073,2111,2246,2331,1732,1780,1753,1517,1365,1180,1267,1214,1199,953,953,854,736,622,2422,2022,Persons
Derby,"128,123",1541,1547,1564,1559,1587,1633,1672,1766,1704,1794,1767,1725,1877,1830,1819,1799,1717,1646,1758,1937,2004,2008,1877,1849,1836,1824,1866,1797,1775,1922,1885,1973,1863,1883,1740,1659,1700,1645,1615,1590,1552,1632,1512,1480,1390,1372,1473,1454,1522,1508,1597,1636,1574,1709,1711,1642,1605,1610,1614,1501,1462,1384,1353,1285,1249,1165,1139,1037,1062,1044,988,981,1004,992,1018,1069,834,805,794,694,603,503,551,554,526,389,388,323,312,220,745,2022,Males
Derby,"131,755",1473,1474,1508,1525,1602,1654,1679,1661,1745,1738,1837,1780,1694,1692,1794,1656,1526,1555,1526,1853,1878,1860,1693,1683,1664,1712,1624,1600,1732,1797,1836,1797,1858,1851,1765,1802,1809,1711,1734,1675,1661,1774,1671,1684,1529,1421,1440,1462,1516,1575,1597,1702,1691,1776,1660,1707,1778,1699,1670,1584,1642,1421,1387,1357,1298,1272,1241,1088,1183,1107,1099,1028,1069,1120,1228,1262,898,974,959,823,762,677,716,660,673,564,565,531,424,402,1676,2022,Females
Derby,"260,440",3004,3003,3036,3086,3092,3190,3290,3339,3416,3444,3529,3604,3492,3575,3539,3628,3480,3249,3305,3999,3961,3784,3514,3529,3503,3453,3500,3480,3424,3516,3684,3681,3744,3697,3683,3486,3416,3480,3319,3329,3249,3202,3377,3161,3143,2886,2771,2896,2906,3013,3067,3167,3332,3247,3465,3349,3301,3347,3279,3243,3065,3055,2793,2697,2610,2513,2414,2350,2104,2213,2117,2054,1972,2020,2075,2193,2276,1681,1717,1701,1473,1308,1132,1198,1141,1104,873,872,758,643,2440,2023,Persons
Derby,"128,304",1535,1538,1545,1561,1564,1583,1637,1659,1765,1705,1789,1773,1722,1877,1841,1834,1818,1718,1703,2067,2050,1969,1844,1842,1837,1808,1793,1856,1790,1798,1890,1871,1944,1847,1845,1720,1634,1684,1620,1603,1573,1539,1620,1508,1465,1368,1360,1461,1448,1512,1506,1572,1630,1560,1697,1692,1607,1582,1590,1585,1481,1439,1371,1326,1261,1229,1147,1121,1025,1044,1024,970,960,970,963,991,1044,803,775,766,672,576,482,513,515,471,350,354,289,264,748,2023,Males
Derby,"132,136",1468,1465,1490,1525,1528,1607,1653,1680,1651,1739,1740,1831,1770,1698,1698,1793,1662,1531,1602,1932,1911,1814,1670,1688,1665,1645,1707,1624,1634,1718,1793,1811,1800,1850,1839,1766,1782,1796,1699,1727,1676,1663,1757,1653,1678,1517,1410,1434,1458,1500,1561,1595,1702,1686,1768,1657,1694,1765,1689,1657,1584,1616,1422,1371,1349,1283,1267,1228,1079,1169,1092,1083,1012,1050,1112,1202,1233,878,942,935,800,732,650,684,626,632,523,518,468,379,1692,2023,Females
Derby,261018,3005,2993,3017,3050,3094,3092,3193,3277,3330,3411,3442,3530,3589,3500,3593,3554,3652,3478,3365,4032,4164,3859,3437,3467,3486,3453,3420,3487,3498,3433,3498,3641,3655,3723,3656,3652,3443,3391,3437,3303,3311,3238,3180,3346,3145,3109,2862,2756,2884,2883,2995,3040,3163,3314,3231,3439,3300,3269,3317,3241,3218,3020,3038,2753,2665,2574,2490,2383,2324,2075,2176,2084,2016,1922,1988,2028,2140,2208,1626,1666,1650,1414,1255,1071,1126,1051,1009,803,775,665,2480,2024,Persons
Derby,128491,1536,1533,1536,1543,1565,1559,1587,1624,1660,1764,1702,1793,1770,1727,1889,1856,1854,1815,1778,2028,2175,2013,1808,1806,1825,1808,1776,1789,1845,1807,1777,1875,1844,1925,1816,1817,1694,1620,1657,1609,1585,1559,1530,1611,1495,1444,1358,1351,1453,1440,1508,1482,1567,1617,1552,1677,1655,1585,1563,1564,1562,1459,1424,1346,1302,1241,1210,1129,1108,1008,1024,1006,951,929,944,939,967,1004,775,746,740,645,551,451,477,462,423,321,315,246,788,2024,Males
Derby,132527,1469,1460,1481,1508,1528,1533,1606,1653,1670,1648,1740,1737,1820,1773,1705,1699,1798,1663,1587,2003,1989,1845,1629,1661,1661,1645,1643,1698,1654,1626,1721,1767,1811,1799,1840,1835,1750,1771,1780,1694,1725,1678,1650,1735,1650,1665,1504,1405,1430,1444,1487,1558,1596,1697,1680,1761,1645,1684,1754,1677,1656,1562,1614,1407,1363,1334,1279,1255,1216,1067,1152,1078,1066,994,1044,1089,1173,1204,852,919,910,770,703,621,649,589,586,482,461,419,1692,2024,Females
Derby,261601,3002,2994,3006,3031,3059,3094,3095,3181,3269,3329,3410,3443,3516,3596,3520,3609,3579,3649,3586,4143,4200,4044,3502,3391,3420,3426,3417,3407,3502,3499,3413,3470,3613,3635,3686,3633,3599,3422,3352,3416,3288,3297,3216,3157,3321,3115,3083,2846,2747,2860,2869,2966,3035,3148,3300,3210,3387,3267,3240,3277,3217,3170,3005,2993,2722,2628,2551,2459,2358,2291,2042,2142,2046,1966,1892,1943,1980,2077,2137,1580,1617,1584,1359,1188,1010,1039,963,927,715,681,2531,2025,Persons
Derby,128684,1535,1534,1531,1533,1548,1561,1563,1575,1626,1662,1758,1708,1787,1774,1742,1903,1874,1852,1872,2119,2145,2126,1847,1771,1788,1792,1774,1770,1782,1857,1780,1770,1847,1827,1891,1795,1785,1680,1596,1644,1592,1572,1550,1524,1592,1475,1434,1350,1346,1444,1437,1482,1477,1555,1609,1536,1640,1631,1567,1538,1542,1537,1445,1398,1322,1281,1222,1191,1116,1090,989,1006,985,919,905,920,917,931,970,747,722,710,618,515,420,429,416,388,286,268,806,2025,Males
Derby,132917,1467,1461,1476,1498,1511,1534,1533,1606,1643,1667,1651,1735,1728,1822,1778,1706,1705,1797,1713,2024,2055,1918,1656,1620,1632,1634,1643,1637,1720,1642,1632,1700,1765,1808,1795,1838,1814,1742,1756,1772,1695,1725,1666,1633,1729,1640,1649,1496,1401,1416,1432,1484,1558,1593,1691,1674,1747,1636,1674,1740,1675,1632,1561,1595,1400,1348,1329,1268,1242,1201,1053,1136,1060,1046,988,1023,1063,1146,1168,832,895,875,741,673,589,610,547,539,429,413,1725,2025,Females
Derby,262191,3002,2992,3008,3021,3040,3061,3098,3084,3174,3267,3331,3412,3429,3523,3618,3539,3635,3578,3757,4351,4331,4084,3662,3454,3345,3359,3382,3403,3424,3501,3473,3386,3455,3590,3599,3666,3588,3569,3386,3335,3397,3277,3273,3191,3138,3282,3093,3067,2835,2727,2844,2843,2960,3020,3136,3279,3165,3352,3238,3203,3255,3170,3152,2962,2958,2686,2605,2520,2433,2324,2253,2012,2103,1995,1935,1851,1898,1922,2010,2077,1535,1553,1522,1288,1120,934,954,886,824,630,2588,2026,Persons
Derby,128891,1535,1532,1532,1528,1538,1544,1564,1550,1577,1628,1660,1763,1704,1790,1790,1761,1921,1871,1913,2212,2241,2106,1943,1808,1753,1754,1755,1767,1763,1799,1828,1770,1751,1830,1796,1868,1770,1766,1655,1586,1626,1580,1562,1543,1508,1567,1466,1427,1345,1340,1439,1414,1476,1466,1548,1593,1503,1616,1611,1542,1517,1518,1521,1418,1373,1301,1262,1203,1178,1098,1069,972,985,953,896,882,899,883,899,936,724,693,681,579,480,379,387,381,345,244,838,2026,Males
Derby,133300,1467,1459,1477,1493,1502,1517,1534,1534,1597,1639,1671,1649,1725,1733,1828,1778,1714,1706,1844,2139,2089,1977,1719,1647,1592,1605,1627,1636,1661,1702,1646,1616,1703,1761,1802,1798,1818,1803,1731,1749,1771,1698,1710,1648,1630,1716,1627,1640,1490,1387,1404,1429,1484,1554,1588,1686,1662,1736,1627,1661,1738,1652,1631,1544,1585,1385,1343,1317,1255,1226,1184,1039,1118,1042,1040,968,999,1039,1111,1141,812,860,841,709,640,555,567,505,479,386,1750,2026,Females
Derby,262808,3007,2992,3006,3023,3031,3042,3065,3087,3077,3173,3269,3336,3401,3437,3544,3636,3567,3635,3689,4547,4523,4220,3700,3604,3407,3286,3315,3362,3419,3424,3474,3442,3371,3444,3553,3581,3624,3564,3524,3372,3320,3384,3256,3246,3172,3105,3253,3080,3056,2813,2713,2818,2840,2944,3008,3118,3233,3135,3322,3200,3182,3207,3154,3105,2929,2918,2664,2573,2494,2399,2286,2218,1976,2051,1964,1893,1809,1843,1861,1954,2020,1476,1493,1443,1215,1036,860,879,791,725,2598,2027,Persons
Derby,129123,1537,1533,1530,1529,1533,1534,1548,1552,1551,1580,1627,1668,1758,1709,1805,1809,1783,1919,1930,2271,2331,2201,1933,1896,1789,1720,1717,1745,1758,1779,1774,1815,1748,1741,1798,1776,1841,1756,1737,1644,1571,1613,1572,1556,1527,1486,1554,1460,1423,1339,1338,1415,1409,1463,1459,1533,1560,1483,1596,1584,1522,1494,1504,1492,1394,1352,1283,1242,1190,1158,1078,1051,953,953,929,873,862,866,853,869,908,694,666,637,540,433,343,356,341,295,847,2027,Males
Derby,133685,1470,1460,1476,1495,1497,1508,1517,1536,1526,1594,1643,1668,1642,1728,1739,1828,1785,1716,1758,2275,2192,2019,1767,1707,1618,1566,1598,1617,1661,1645,1700,1627,1623,1703,1755,1804,1783,1808,1787,1727,1749,1771,1685,1690,1645,1620,1700,1621,1633,1473,1375,1402,1430,1481,1548,1584,1674,1652,1726,1616,1660,1712,1651,1613,1535,1566,1381,1331,1304,1241,1209,1167,1024,1097,1036,1019,946,977,1008,1086,1112,782,827,806,675,603,517,523,450,430,1751,2027,Females
Derby,263418,3015,2997,3007,3021,3033,3033,3047,3055,3081,3077,3176,3274,3328,3409,3458,3562,3665,3571,3750,4484,4718,4391,3831,3644,3549,3346,3244,3294,3373,3418,3400,3442,3423,3360,3417,3534,3540,3603,3526,3503,3359,3310,3360,3233,3225,3140,3082,3234,3073,3032,2797,2690,2813,2826,2931,2990,3075,3204,3109,3282,3179,3137,3191,3109,3069,2892,2893,2633,2547,2459,2361,2252,2178,1929,2019,1922,1850,1757,1785,1809,1901,1944,1421,1416,1362,1125,953,794,785,696,2687,2028,Persons
Derby,129353,1541,1535,1531,1528,1535,1530,1538,1536,1553,1553,1579,1634,1666,1762,1725,1822,1831,1786,1979,2281,2398,2283,2019,1892,1872,1755,1684,1706,1734,1774,1754,1764,1791,1735,1717,1778,1752,1826,1732,1722,1629,1559,1604,1566,1539,1504,1475,1543,1458,1418,1338,1318,1410,1399,1455,1445,1501,1539,1466,1569,1563,1500,1480,1476,1466,1373,1333,1264,1229,1171,1137,1059,1029,922,929,906,854,832,837,824,842,873,667,624,596,488,391,316,319,291,894,2028,Males
Derby,134065,1474,1462,1476,1494,1498,1503,1508,1520,1528,1524,1597,1640,1662,1648,1734,1741,1834,1786,1771,2203,2321,2108,1812,1752,1677,1591,1560,1588,1639,1645,1646,1677,1632,1625,1701,1756,1788,1777,1794,1781,1729,1751,1756,1667,1686,1635,1607,1691,1616,1614,1459,1373,1403,1427,1475,1545,1574,1664,1643,1713,1616,1637,1710,1633,1604,1519,1560,1369,1318,1289,1224,1192,1149,1006,1090,1016,996,926,948,985,1058,1071,754,792,766,637,562,478,466,405,1792,2028,Females
